"ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME","RECORD_LENGTH"
"CA001123721",49.6667,-120.3333,"TMAX",1995,2024,"BC","BRITISH COLUMBIA",30
"CA001123939",49.95,-119.3833,"TMAX",2009,2024,"BC","BRITISH COLUMBIA",16
"CA001125073",50.1167,-120.7833,"TMAX",2011,2025,"BC","BRITISH COLUMBIA",15
"CA001125079",50.1167,-120.8,"TMAX",1968,2024,"BC","BRITISH COLUMBIA",57
"CA001125852",49.0333,-119.4333,"TMAX",1990,2025,"BC","BRITISH COLUMBIA",36
"CA001126070",49.7833,-119.7167,"TMAX",1971,2024,"BC","BRITISH COLUMBIA",54
"CA001126146",49.4667,-119.6,"TMAX",2012,2024,"BC","BRITISH COLUMBIA",13
"CA001126510",49.4667,-120.5167,"TMAX",1936,2024,"BC","BRITISH COLUMBIA",89
"CA001128582",50.2167,-119.2,"TMAX",2005,2025,"BC","BRITISH COLUMBIA",21
"CA001128584",50.3667,-119.05,"TMAX",1970,2024,"BC","BRITISH COLUMBIA",55
"CA00112FN0M",49.4667,-120.5167,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA00112G8L1",49.5667,-119.65,"TMAX",1990,2025,"BC","BRITISH COLUMBIA",36
"CA001135126",49,-118.7667,"TMAX",1988,2023,"BC","BRITISH COLUMBIA",36
"CA001140876",49.0167,-118.2333,"TMAX",1984,2024,"BC","BRITISH COLUMBIA",41
"CA001141455",49.3,-117.6333,"TMAX",1965,2024,"BC","BRITISH COLUMBIA",60
"CA001141457",49.35,-117.7667,"TMAX",1969,2024,"BC","BRITISH COLUMBIA",56
"CA001142574",50.2333,-116.9667,"TMAX",1963,2024,"BC","BRITISH COLUMBIA",62
"CA001144635",49.0333,-116.45,"TMAX",1987,2024,"BC","BRITISH COLUMBIA",38
"CA001145297",50.2667,-117.8167,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001145442",49.5833,-117.2,"TMAX",1983,2023,"BC","BRITISH COLUMBIA",41
"CA001145460",50,-117.3667,"TMAX",1967,2024,"BC","BRITISH COLUMBIA",58
"CA001145M29",49.4833,-117.3,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001148705",49.1167,-117.7333,"TMAX",2001,2025,"BC","BRITISH COLUMBIA",25
"CA00114B1F0",49.0833,-116.5,"TMAX",1993,2025,"BC","BRITISH COLUMBIA",33
"CA00114EMDM",49.5167,-117.4,"TMAX",1991,2024,"BC","BRITISH COLUMBIA",34
"CA001152105",49.6167,-115.7833,"TMAX",2012,2024,"BC","BRITISH COLUMBIA",13
"CA001152850",49.4833,-115.0667,"TMAX",1913,2024,"BC","BRITISH COLUMBIA",112
"CA001153034",49.5167,-115.4667,"TMAX",1968,2024,"BC","BRITISH COLUMBIA",57
"CA001154203",49.6333,-115.9667,"TMAX",1987,2024,"BC","BRITISH COLUMBIA",38
"CA001157631",49.75,-114.8833,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA001160515",50.7167,-121.2833,"TMAX",2010,2025,"BC","BRITISH COLUMBIA",16
"CA001160899",52.1333,-119.2833,"TMAX",1969,2024,"BC","BRITISH COLUMBIA",56
"CA001160H99",52.1333,-119.2833,"TMAX",1992,2024,"BC","BRITISH COLUMBIA",33
"CA001163780",50.7,-120.45,"TMAX",1951,2025,"BC","BRITISH COLUMBIA",75
"CA001163842",50.7,-120.45,"TMAX",2006,2025,"BC","BRITISH COLUMBIA",20
"CA001165793",51.6833,-121.2167,"TMAX",1987,2023,"BC","BRITISH COLUMBIA",37
"CA001166658",50.9333,-120.8,"TMAX",1974,2024,"BC","BRITISH COLUMBIA",51
"CA001168520",51.5833,-119.7833,"TMAX",1913,2024,"BC","BRITISH COLUMBIA",112
"CA00116C8P0",50.6,-120.2,"TMAX",1988,2024,"BC","BRITISH COLUMBIA",37
"CA00116FRMN",50.7,-119.2833,"TMAX",1991,2025,"BC","BRITISH COLUMBIA",35
"CA001173191",51.3,-117.5167,"TMAX",1965,2024,"BC","BRITISH COLUMBIA",60
"CA001173210",51.3,-116.9833,"TMAX",1902,2024,"BC","BRITISH COLUMBIA",123
"CA001175122",52.05,-118.5833,"TMAX",1951,2024,"BC","BRITISH COLUMBIA",74
"CA001176745",50.9667,-118.1833,"TMAX",2011,2025,"BC","BRITISH COLUMBIA",15
"CA0011790J1",51.45,-116.35,"TMAX",1992,2025,"BC","BRITISH COLUMBIA",34
"CA00117CA90",51.2333,-117.7,"TMAX",1969,2024,"BC","BRITISH COLUMBIA",56
"CA001181508",55.6833,-121.6333,"TMAX",1982,2024,"BC","BRITISH COLUMBIA",43
"CA001182289",55.75,-120.1833,"TMAX",2009,2024,"BC","BRITISH COLUMBIA",16
"CA001183001",56.2333,-120.7333,"TMAX",2012,2024,"BC","BRITISH COLUMBIA",13
"CA001184791",55.3,-123.1333,"TMAX",2010,2024,"BC","BRITISH COLUMBIA",15
"CA001192341",58.4167,-130.0333,"TMAX",2011,2025,"BC","BRITISH COLUMBIA",15
